sample_index,timestamp_ms,ch2_mv,packet_index
58725,117450.000,-11.184360,2349
58726,117452.000,-10.723401,2349
58727,117454.000,-10.341789,2349
58728,117456.000,-10.067559,2349
58729,117458.000,-9.964324,2349
58730,117460.000,-10.115434,2349
58731,117462.000,-10.625554,2349
58732,117464.000,-11.175014,2349
58733,117466.000,-11.448718,2349
58734,117468.000,-11.421396,2349
58735,117470.000,-11.187889,2349
58736,117472.000,-10.707284,2349
58737,117474.000,-10.312082,2349
58738,117476.000,-10.033132,2349
58739,117478.000,-9.930230,2349
58740,117480.000,-10.079242,2349
58741,117482.000,-10.590841,2349
58742,117484.000,-11.143257,2349
58743,117486.000,-11.413194,2349
58744,117488.000,-11.371709,2349
58745,117490.000,-11.143018,2349
58746,117492.000,-10.688354,2349
58747,117494.000,-10.315706,2349
58748,117496.000,-10.043336,2349
58749,117498.000,-9.945489,2349
58750,117500.000,-10.107280,2350
58751,117502.000,-10.628892,2350
58752,117504.000,-11.183216,2350
58753,117506.000,-11.453344,2350
58754,117508.000,-11.404945,2350
58755,117510.000,-11.175348,2350
58756,117512.000,-10.725023,2350
58757,117514.000,-10.349466,2350
58758,117516.000,-10.069753,2350
58759,117518.000,-9.975721,2350
58760,117520.000,-10.135938,2350
58761,117522.000,-10.654308,2350
58762,117524.000,-11.199380,2350
58763,117526.000,-11.463357,2350
58764,117528.000,-11.421539,2350
58765,117530.000,-11.187412,2350
58766,117532.000,-10.718633,2350
58767,117534.000,-10.339214,2350
58768,117536.000,-10.063030,2350
58769,117538.000,-9.962846,2350
58770,117540.000,-10.114242,2350
58771,117542.000,-10.628415,2350
58772,117544.000,-11.170913,2350
58773,117546.000,-11.427881,2350
58774,117548.000,-11.376001,2350
58775,117550.000,-11.130716,2351
58776,117552.000,-10.651876,2351
58777,117554.000,-10.271169,2351
58778,117556.000,-9.991981,2351
58779,117558.000,-9.895421,2351
58780,117560.000,-10.052444,2351
58781,117562.000,-10.577108,2351
58782,117564.000,-11.131240,2351
58783,117566.000,-11.404230,2351
58784,117568.000,-11.362935,2351
58785,117570.000,-11.135818,2351
58786,117572.000,-10.674764,2351
58787,117574.000,-10.308458,2351
58788,117576.000,-10.038186,2351
58789,117578.000,-9.949924,2351
58790,117580.000,-10.118200,2351
58791,117582.000,-10.647966,2351
58792,117584.000,-11.196042,2351
58793,117586.000,-11.460973,2351
58794,117588.000,-11.438800,2351
58795,117590.000,-11.204053,2351
58796,117592.000,-10.704852,2351
58797,117594.000,-10.314227,2351
58798,117596.000,-10.044767,2351
58799,117598.000,-9.958125,2351
58800,117600.000,-10.128738,2352
58801,117602.000,-10.660030,2352
58802,117604.000,-11.201764,2352
58803,117606.000,-11.462022,2352
58804,117608.000,-11.418916,2352
58805,117610.000,-11.172677,2352
58806,117612.000,-10.682536,2352
58807,117614.000,-10.291530,2352
58808,117616.000,-10.009958,2352
58809,117618.000,-9.914924,2352
58810,117620.000,-10.074426,2352
58811,117622.000,-10.595275,2352
58812,117624.000,-11.134101,2352
